OPEID6,Institution,City,County,Region,Predominant Award,Sector,Undergraduate Degree-seeking students,ZIP,Latitude,Longitude,Median Earnings 10 Years After Enrollment,Annual Net Price
25459,Hypnosis Motivation Institute,Tarzana,Los Angeles,Los Angeles,Certificate,Private non-profit,335,91356-4159,34.170219,-118.538719,24244,42523
25535,Associated Technical College-San Diego,San Diego,San Diego,San Diego,Certificate,Private for-profit,77,92108-1630,32.773178,-117.135196,26688,24674
25536,Diversified Vocational College,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,224,90017-1604,34.056102,-118.272364,25328,21444
25593,UEI College-Garden Grove,Garden Grove,Orange,Orange,Certificate,Private for-profit,1093,92840-2409,33.801877,-117.943701,31141,23923
25593,UEI College-Huntington Park,Huntington Park,Los Angeles,Los Angeles,Certificate,Private for-profit,1036,90255-2933,33.986057,-118.226206,31141,26959
25593,UEI College-West Covina,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,1022,91731-2806,34.075984,-117.90946,31141,25924
25593,UEI College-Ontario,Ontario,San Bernardino,Inland Empire,Certificate,Private for-profit,930,91764-5574,34.0694,-117.547733,31141,25076
25593,UEI College-Reseda,Reseda,Los Angeles,Los Angeles,Certificate,Private for-profit,1056,91335-4631,34.200881,-118.526784,31141,25949
25593,UEI College-Oceanside,Oceanside,San Diego,San Diego,Certificate,Private for-profit,777,92058-2321,33.204442,-117.36182,31141,25560
25593,UEI College-Chula Vista,Chula Vista,San Diego,San Diego,Certificate,Private for-profit,1344,91911-3262,32.608605,-117.065355,31141,26798
25593,UEI College-Stockton,Stockton,San Joaquin,San Joaquin Valley,Certificate,Private for-profit,823,95207-0000,37.99756,-121.308461,31141,25283
25594,InterCoast Colleges-Riverside,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,63,92508,33.888511,-117.281383,36089,23880
25594,InterCoast Colleges-Rancho Cordova,Rancho Cordova,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,78,95827,38.561309,-121.334243,36089,23629
25594,InterCoast Colleges-Fairfield,Fairfield,Solano,Bay Area,Certificate,Private for-profit,139,94534,38.212134,-122.147995,36089,23134
25594,InterCoast Colleges-West Covina,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,507,91791,34.073357,-117.897148,36089,23693
25916,North-West College-Van Nuys,Van Nuys,Los Angeles,Los Angeles,Certificate,Private for-profit,225,91411,34.189497,-118.450184,32488,33464
25964,Spartan College of Aeronautics and Technology,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,261,92509-8716,33.990127,,61575,32884
25964,Spartan College of Aeronautics & Technology,Inglewood,Los Angeles,Los Angeles,Certificate,Private for-profit,319,90301-2904,33.956018,-118.377744,61575,30099
26023,Central Coast College,Salinas,Monterey,Central Coast,Certificate,Private for-profit,490,93906,36.706345,-121.652394,40823,26640
30199,Capstone College,Pasadena,Los Angeles,Los Angeles,Certificate,Private for-profit,140,91103,34.165741,-118.149478,35348,18047
30277,Pacific College of Health and Science,San Diego,San Diego,San Diego,Certificate,Private for-profit,173,92108-4407,32.778391,-117.16073,26209,39710
30296,Pomona Unified School District Adult and Career Education,Pomona,Los Angeles,Los Angeles,Certificate,Public,84,91767,34.061736,-117.720478,34849,6005
30357,Las Positas College,Livermore,Alameda,Bay Area,Associate's,Public,6766,94551-7650,37.710873,-121.80058,51088,4175
30399,Fremont University,Cerritos,Los Angeles,Los Angeles,Associate's,Private for-profit,153,90703,33.868382,-118.097019,39003,32256
30624,Mt. Diablo Adult Education-Mt. Diablo USD,Concord,Contra Costa,Bay Area,Certificate,Public,153,94518-1199,37.968852,-122.026805,40175,12260
30627,Platt College-Ontario,Ontario,San Bernardino,Inland Empire,Associate's,Private for-profit,467,91764,34.068595,-117.571744,40669,27002
30627,Platt College-Riverside,Riverside,Riverside,Inland Empire,Associate's,Private for-profit,416,92507,33.932923,-117.298365,40669,26217
30627,Platt College-Anaheim,Anaheim,Orange,Orange,Associate's,Private for-profit,405,92806-5949,33.809417,-117.878211,40669,25680
30627,Platt College-Los Angeles,Alhambra,Los Angeles,Los Angeles,Associate's,Private for-profit,598,91803,34.081723,-118.150013,40669,28014
30634,Modern Technology School,Fountain Valley,Orange,Orange,Certificate,Private for-profit,99,92708-9821,33.723142,-117.918837,50667,23046
30674,Baldwin Park Adult & Community Education,Baldwin Park,Los Angeles,Los Angeles,Certificate,Public,435,91706-4221,34.09673,-117.959486,32069,7450
30675,Institute of Technology,Clovis,Fresno,San Joaquin Valley,Certificate,Private for-profit,1376,93612,36.83679,-119.723249,35095,23027
30847,Ventura Adult and Continuing Education,Ventura,Ventura,Central Coast,Certificate,Public,52,93003-0000,34.256061,-119.219561,38232,9949
30977,Central California School of Continuing Education,San Luis Obispo,San Luis Obispo,Central Coast,Certificate,Private for-profit,72,93401,35.262091,-120.64847,41223,14364
30987,Milan Institute-Palm Desert,Palm Desert,Riverside,Inland Empire,Certificate,Private for-profit,290,92211,33.783343,-116.353268,29491,27930
31081,Summit College,San Bernardino,San Bernardino,Inland Empire,Certificate,Private for-profit,1210,92408,34.072073,-117.26818,40187,24161
31133,UEI College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,1385,93308-0000,35.381617,-119.049925,27688,27712
31133,UEI College-Fresno,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,974,93726-5398,36.782858,-119.789002,27688,28271
31136,Southern California Institute of Technology,Anaheim,Orange,Orange,Certificate,Private for-profit,533,92801-3758,33.8381,-117.950661,53598,27735
31253,John Wesley International Barber and Beauty College,Long Beach,Los Angeles,Los Angeles,Certificate,Private for-profit,61,90813,33.778235,-118.18469,23643,12735
31258,Premiere Career College,Irwindale,Los Angeles,Los Angeles,Certificate,Private for-profit,106,91706-3746,34.079755,-117.990894,41270,23214
31444,American College of Healthcare and Technology-Santa Ana,Santa Ana,Orange,Orange,Certificate,Private for-profit,85,92705-8680,33.759681,-117.840955,31109,14794
31444,American College of Healthcare and Technology,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,321,92505,33.901581,-117.493507,31109,15115
31444,American College of Healthcare and Technology,Huntington Park,Los Angeles,Los Angeles,Certificate,Private for-profit,155,90255,33.98271,-118.224752,31109,12483
32423,Career Networks Institute,Santa Ana,Orange,Orange,Associate's,Private for-profit,971,92705,33.721058,-117.8478,45256,28292
32503,CBD College,Los Angeles,Los Angeles,Los Angeles,Associate's,Private non-profit,1408,90010,34.06231,-118.306221,37237,21100
32993,Pacific College,Costa Mesa,Orange,Orange,Associate's,Private for-profit,285,92626-3402,33.680043,-117.873382,70064,21941
33673,Professional Golfers Career College,Temecula,Riverside,Inland Empire,Associate's,Private for-profit,110,92591,33.528952,-117.163739,46079,31397
34223,Milan Institute-Bakersfield,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,514,93301,35.385513,-119.023088,24879,29198
34223,Milan Institute-Merced,Merced,Merced,San Joaquin Valley,Certificate,Private for-profit,308,95340-2626,37.322518,-120.481067,24879,28094
34223,Milan Institute-Clovis,Clovis,Fresno,San Joaquin Valley,Certificate,Private for-profit,569,93612,36.810625,-119.725573,24879,21941
34404,Marian Health Careers Center-Los Angeles Campus,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,154,90010,34.062096,-118.295073,63612,30387
34404,Marian Health Careers Center-Van Nuys Campus,Van Nuys,Los Angeles,Los Angeles,Certificate,Private for-profit,88,91411,34.177483,-118.465561,63612,32543
34793,PCI College,Cerritos,Los Angeles,Los Angeles,Associate's,Private for-profit,168,90703,33.87475,-118.100169,36141,24046
35324,ATA College,El Cajon,San Diego,San Diego,Certificate,Private for-profit,106,92020,32.819023,-116.981781,35017,20906
35424,Copper Mountain Community College,Joshua Tree,San Bernardino,Inland Empire,Associate's,Public,1090,92252,34.140464,-116.213939,33281,7962
35773,Coba Academy,Anaheim,Orange,Orange,Certificate,Private for-profit,100,92801,33.841141,-117.943108,21208,16761
35904,NTMA Training Centers of Southern California,Santa Fe Springs,Los Angeles,Los Angeles,Certificate,Private non-profit,64,90670,33.94302,-118.074231,45713,22219
36393,Smith Chason College,Los Angeles,Los Angeles,Los Angeles,Associate's,Private for-profit,2221,90010,34.061409,-118.302836,58004,34402
36463,Design's School of Cosmetology,Paso Robles,San Luis Obispo,Central Coast,Certificate,Private for-profit,93,93446,35.648459,-120.672526,23937,17968
36813,California Healing Arts College,Carson,Los Angeles,Los Angeles,Certificate,Private for-profit,298,90746-7323,33.844718,-118.265919,25151,19024
36953,CES College,Burbank,Los Angeles,Los Angeles,Certificate,Private non-profit,106,91502-2750,34.180401,-118.303297,22916,27139
36957,Santiago Canyon College,Orange,Orange,Orange,Certificate,Public,10613,92869-4512,33.795449,-117.766762,44956,3407
37363,Advance Beauty College,Garden Grove,Orange,Orange,Certificate,Private for-profit,448,92843,33.759905,-117.952637,11575,11689
37404,ATI College-Whittier,Whitter,Los Angeles,Los Angeles,Certificate,Private for-profit,141,90603-0000,33.948364,-118.003687,38938,26689
37593,Stellar Career College,Modesto,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,50,95356,37.701963,-121.071015,30337,13155
37974,Career Care Institute,Lancaster,Los Angeles,Los Angeles,Certificate,Private for-profit,649,93534,34.678236,-118.15638,39888,45587
38713,Folsom Lake College,Folsom,Sacramento,Sacramento-Tahoe,Associate's,Public,8937,95630,38.661372,-121.127486,42568,3661
38743,Sutter County Career Training Center,Yuba City,Sutter,Sacramento-Tahoe,Certificate,Private for-profit,50,95993,39.139961,-121.652275,34846,24876
38744,Community Christian College,Redlands,San Bernardino,Inland Empire,Associate's,Private non-profit,428,92374-2893,34.068664,-117.217101,39217,20033
38893,Stanbridge University,Irvine,Orange,Orange,Associate's,Private for-profit,2373,92612,33.678879,-117.857636,62144,25114
39104,National Polytechnic College,Lakewood,Los Angeles,Los Angeles,Associate's,Private for-profit,299,90712,33.860528,-118.143809,30781,31626
39353,California Nurses Educational Institute,Palm Springs,Riverside,Inland Empire,Certificate,Private for-profit,114,92264,33.816672,-116.490142,46895,21278
39644,International School of Beauty Inc,Palm Desert,Riverside,Inland Empire,Certificate,Private for-profit,173,92260-2740,33.729555,-116.403928,19799,13450
39696,UEI College-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,1086,95823-2512,38.494532,-121.454197,30848,26924
39696,UEI College-Gardena,Gardena,Los Angeles,Los Angeles,Certificate,Private for-profit,1444,90247-4201,33.893016,-118.287234,30848,26611
39696,UEI College-Riverside,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,1447,92507-5344,33.975392,-117.351755,30848,25704
39713,American Career College-Ontario,Ontario,San Bernardino,Inland Empire,Certificate,Private for-profit,2014,91764,34.068204,-117.583814,38492,29807
39993,Beaumont Adult School,Beaumont,Riverside,Inland Empire,Certificate,Public,101,92223,33.951365,-116.964728,50801,30407
40013,Los Angeles College of Aesthetics,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,101,90006,34.044739,-118.309491,16540,22239
40033,Blake Austin College,Vacaville,Solano,Bay Area,Certificate,Private for-profit,11,95687,38.378548,-121.945606,42518,30926
40144,Palladium Technical Academy Inc,Temple City,Los Angeles,Los Angeles,Certificate,Private for-profit,45,91780,34.091838,-118.04358,34799,16761
40573,Asher College,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Private for-profit,699,95825,38.587784,-121.415767,45468,16924
40923,Coastline Beauty College,Fountain Valley,Orange,Orange,Certificate,Private for-profit,185,92708,33.728821,-117.921471,11585,14231
41113,Lemoore College,Lemoore,Kings,San Joaquin Valley,Associate's,Public,3223,93245,36.292431,-119.823866,40292,7961
41145,Valley College of Medical Careers,West Hills,Los Angeles,Los Angeles,Certificate,Private for-profit,57,91304,34.221839,-118.606731,37453,21967
41153,Coachella Valley Beauty College-Hemet,Hemet,Riverside,Inland Empire,Certificate,Private for-profit,101,92545,33.745675,-117.010783,19665,15776
41153,Coachella Valley Beauty College,La Quinta,Riverside,Inland Empire,Certificate,Private for-profit,88,92253,33.708193,-116.278254,19665,16812
41156,Mayfield College,Cathedral City,Riverside,Inland Empire,Certificate,Private for-profit,316,92234,33.790822,-116.458827,29384,22604
41188,New York Film Academy,Burbank,Los Angeles,Los Angeles,Certificate,Private for-profit,965,91505,34.152076,-118.335567,29633,46420
41324,Academy of Esthetics and Cosmetology,San Fernando,Los Angeles,Los Angeles,Certificate,Private for-profit,28,91340-3212,34.285043,-118.444228,35089,18458
41327,Healthcare Career College,Paramount,Los Angeles,Los Angeles,Certificate,Private for-profit,381,90723-5258,33.889719,-118.149645,32613,14534
41387,Paul Mitchell the School-Pasadena,Pasadena,Los Angeles,Los Angeles,Certificate,Private for-profit,200,91101,34.144765,-118.133403,25845,30966
41413,San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,San Francisco,Bay Area,Certificate,Private for-profit,202,94103,37.777043,-122.407083,32926,16845
41414,Laurus College,San Luis Obispo,San Luis Obispo,Central Coast,Associate's,Private for-profit,794,93401,35.2682,-120.669519,30896,15693
41417,Healing Hands School of Holistic Health,Escondido,San Diego,San Diego,Certificate,Private for-profit,256,92025,33.124571,-117.078694,24366,56381
41438,Woodland Community College,Woodland,Yolo,Sacramento-Tahoe,Associate's,Public,2949,95776,38.660392,-121.73533,40042,4097
41442,Career Development Institute Inc,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,168,90035,34.045817,-118.386067,62209,21412
41456,International College of Cosmetology,Oakland,Alameda,Bay Area,Certificate,Private for-profit,125,94601-3525,37.774887,-122.220803,21099,1973
41460,National Career College,Panorama City,Los Angeles,Los Angeles,Certificate,Private for-profit,366,91402,34.22245,-118.446211,19347,17772
41482,Beyond 21st Century Beauty Academy,Santa Fe Springs,Los Angeles,Los Angeles,Certificate,Private for-profit,102,90670,33.916443,-118.041477,25139,19155
41497,Homestead Schools,Torrance,Los Angeles,Los Angeles,Certificate,Private non-profit,176,90505,33.809096,-118.35009,59398,15845
41528,Paul Mitchell the School-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,342,95825,38.594752,-121.41594,30336,19748
41582,Paul Mitchell the School-Sherman Oaks,Sherman Oaks,Los Angeles,Los Angeles,Certificate,Private for-profit,280,91403,34.154315,-118.467289,26262,26369
41597,American Medical Sciences Center,Glendale,Los Angeles,Los Angeles,Associate's,Private for-profit,200,91204-5108,34.147117,-118.256991,29972,23566
41604,Angeles College,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,484,90010,34.061223,-118.29903,49108,25805
41628,Paul Mitchell the School-Modesto,Modesto,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,305,95350,37.68301,-120.993745,28691,17550
41644,Angeles Institute,ARTESIA,Los Angeles,Los Angeles,Certificate,Private for-profit,132,90701-2713,33.875772,-118.080741,61195,23161
41659,Paul Mitchell the School-Fresno,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,262,93710,36.809778,-119.782437,29671,20048
41670,Paul Mitchell the School-Temecula,Temecula,Riverside,Inland Empire,Certificate,Private for-profit,275,92591,33.507316,-117.146674,22452,33646
41697,Unitek College,Fremont,Alameda,Bay Area,Certificate,Private for-profit,4715,94538,37.50904,-121.961761,79550,25719
41698,Gurnick Academy of Medical Arts,San Jose,Santa Clara,Bay Area,Certificate,Private for-profit,2844,95112,37.364294,-121.912991,66844,30558
41734,Santa Ana Beauty Academy,Santa Ana,Orange,Orange,Certificate,Private for-profit,45,92705-7820,33.766402,-117.835205,28107,7995
41735,Moreno Valley College,Moreno Valley,Riverside,Inland Empire,Associate's,Public,8292,92551,33.88744,-117.20271,52133,1996
41752,Paul Mitchell the School-East Bay,Pleasant Hill,Contra Costa,Bay Area,Certificate,Private for-profit,212,94523,37.94492,-122.061226,29418,30889
41754,Elite Cosmetology School,PALM DESERT,Riverside,Inland Empire,Certificate,Private for-profit,123,92260,33.723624,-116.394724,17966,17818
41761,Norco College,Norco,Riverside,Inland Empire,Associate's,Public,8359,92860,33.917387,-117.570212,51206,2845
41800,Cinta Aveda Institute,San Francisco,San Francisco,Bay Area,Certificate,Private for-profit,95,94108-3204,37.790935,-122.404307,34937,10821
41812,Southern California Health Institute,North Hollywood,Los Angeles,Los Angeles,Certificate,Private for-profit,69,91601,34.173485,-118.370014,34558,26692
41954,Unitek College,South San Francisco,San Mateo,Bay Area,Certificate,Private for-profit,255,94080-1005,37.65642,-122.455603,87877,28283
41954,Unitek College,Hayward,Alameda,Bay Area,Certificate,Private for-profit,326,94541-7026,37.661039,-122.116059,87877,27158
42817,Compton College,Compton,Los Angeles,Los Angeles,Associate's,Public,2881,90221-5393,33.878226,-118.209463,34181,11103
