UNITID,OPEID6,Institution,City,County,Region,Sector,Predominant Award,COUNTYFIP,median_earnings_10yr,hs_median_income,Annual Net Price,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change
119067,1242,Monterey Peninsula College,Monterey,Monterey,Central Coast,Public,Associate's,53,42176,,13498,26996,9700.0,,2.7830927835051544,,96,114,-18
417123,30847,Ventura Adult and Continuing Education,Ventura,Ventura,Central Coast,Public,Certificate,111,38232,28138.0,9949,19898,5756.0,10094.0,3.456914523974983,1.9712700614226273,103,105,-2
112561,7707,Columbia College,Sonora,Tuolumne,Central Sierra,Public,Associate's,109,39035,,15468,30936,6559.0,,4.716572648269553,,109,114,-5
115861,1214,Imperial Valley College,Imperial,Imperial,Imperial,Public,Associate's,25,34487,11799.0,1697,3394,2011.0,22688.0,1.687717553455992,0.14959449929478139,70,11,59
460394,41735,Moreno Valley College,Moreno Valley,Riverside,Inland Empire,Public,Associate's,65,52133,25957.0,1996,3992,19657.0,26176.0,0.2030828712417968,0.15250611246943765,12,12,0
460464,41761,Norco College,Norco,Riverside,Inland Empire,Public,Associate's,65,51206,25957.0,2845,5690,18730.0,25249.0,0.30379071009076347,0.22535545962216325,15,18,-3
121901,1270,Riverside City College,Riverside,Riverside,Inland Empire,Public,Associate's,65,41091,25957.0,4026,8052,8615.0,15134.0,0.934648868253047,0.5320470463856217,46,45,1
111939,1163,Chaffey College,Rancho Cucamonga,San Bernardino,Inland Empire,Public,Associate's,71,42975,24000.0,5743,11486,10499.0,18975.0,1.0940089532336412,0.6053227931488802,52,55,-3
125091,1335,Victor Valley College,Victorville,San Bernardino,Inland Empire,Public,Certificate,71,36119,24000.0,3228,6456,3643.0,12119.0,1.772165797419709,0.5327172208928129,72,46,26
113111,9272,Crafton Hills College,Yucaipa,San Bernardino,Inland Empire,Public,Associate's,71,42553,24000.0,10655,21310,10077.0,18553.0,2.114716681552049,1.1486013043712606,86,81,5
123527,1272,San Bernardino Valley College,San Bernardino,San Bernardino,Inland Empire,Public,Certificate,71,39676,24000.0,8234,16468,7200.0,15676.0,2.2872222222222223,1.05052309262567,88,72,16
119216,1246,Mt San Jacinto Community College District,San Jacinto,Riverside,Inland Empire,Public,Associate's,65,38319,25957.0,7098,14196,5843.0,12362.0,2.4295738490501453,1.1483578708946773,93,80,13
449357,39993,Beaumont Adult School,Beaumont,Riverside,Inland Empire,Public,Certificate,65,50801,25957.0,30407,60814,18325.0,24844.0,3.3186357435197817,2.447834487200129,101,110,-9
113573,1182,College of the Desert,Palm Desert,Riverside,Inland Empire,Public,Associate's,65,39020,25957.0,11812,23624,6544.0,13063.0,3.6100244498777507,1.8084666615631937,104,101,3
120953,1259,Palo Verde College,Blythe,Riverside,Inland Empire,Public,Associate's,65,36389,25957.0,10543,21086,3913.0,10432.0,5.3887043189368775,2.0212806748466257,113,107,6
109907,1119,Barstow Community College,Barstow,San Bernardino,Inland Empire,Public,Associate's,71,35104,24000.0,12347,24694,2628.0,11104.0,9.396499238964992,2.223883285302594,116,109,7
395362,35424,Copper Mountain Community College,Joshua Tree,San Bernardino,Inland Empire,Public,Associate's,71,33281,24000.0,7962,15924,805.0,9281.0,19.78136645962733,1.715763387565995,118,98,20
111887,1161,Cerritos College,Norwalk,Los Angeles,Los Angeles,Public,Certificate,37,41156,23598.0,693,1386,8680.0,17558.0,0.1596774193548387,0.07893837566921062,10,8,2
111461,8903,College of the Canyons,Santa Clarita,Los Angeles,Los Angeles,Public,Associate's,37,49022,23598.0,2114,4228,16546.0,25424.0,0.25553003747129216,0.16629955947136563,14,13,1
119164,1245,Mt San Antonio College,Walnut,Los Angeles,Los Angeles,Public,Associate's,37,46283,23598.0,3107,6214,13807.0,22685.0,0.45006156297530236,0.27392550143266475,21,20,1
