UNITID,OPEID6,Institution,City,County,Region,Regional Rank,Predominant Award,Sector,Undergraduate Degree-seeking students,ROI: Years to Recoup Net Costs,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Based off of Predominant Credential),ZIP,Latitude,Longitude
461500,41734,Santa Ana Beauty Academy,Santa Ana,Orange,Orange,12,Certificate,Private for-profit,45,No Economic ROI,"$28,107","-$4,369","$7,995","$7,995",92705-7820,33.766402,-117.835205
442240,25318,Paul Mitchell the School-Costa Mesa,Costa Mesa,Orange,Orange,12,Certificate,Private for-profit,347,No Economic ROI,"$26,897","-$5,579","$12,063","$12,063",92626,33.695103,-117.927468
111513,21250,Career Academy of Beauty,Garden Grove,Orange,Orange,12,Certificate,Private for-profit,207,No Economic ROI,"$24,410","-$8,066","$19,101","$19,101",92845,33.781018,-118.031697
112455,35773,Coba Academy,Anaheim,Orange,Orange,12,Certificate,Private for-profit,100,No Economic ROI,"$21,208","-$11,268","$16,761","$16,761",92801,33.841141,-117.943108
371830,24948,CRU Institute of Cosmetology and Barbering,Garden Grove,Orange,Orange,12,Certificate,Private for-profit,129,No Economic ROI,"$20,125","-$12,351","$18,165","$18,165",92845-4321,33.790145,-118.030758
368832,22364,Thanh Le College School of Cosmetology,Garden Grove,Orange,Orange,12,Certificate,Private for-profit,54,No Economic ROI,"$13,265","-$19,211","$21,350","$21,350",92840,33.789713,-117.908306
450988,40923,Coastline Beauty College,Fountain Valley,Orange,Orange,12,Certificate,Private for-profit,185,No Economic ROI,"$11,585","-$20,891","$14,231","$14,231",92708,33.728821,-117.921471
400187,37363,Advance Beauty College,Garden Grove,Orange,Orange,12,Certificate,Private for-profit,448,No Economic ROI,"$11,575","-$20,901","$11,689","$11,689",92843,33.759905,-117.952637
118198,12912,MTI College,Sacramento,Sacramento,Sacramento-Tahoe,1,Certificate,Private for-profit,"1,025",1.6,"$45,328","$12,852","$20,336","$20,336",95841-9817,38.661377,-121.342568
447777,40573,Asher College,Sacramento,Sacramento,Sacramento-Tahoe,2,Associate's,Private for-profit,699,2.6,"$45,468","$12,992","$16,924","$33,848",95825,38.587784,-121.415767
448433,21005,Universal Technical Institute of Northern California Inc,Sacramento,Sacramento,Sacramento-Tahoe,3,Associate's,Private for-profit,"1,107",3.4,"$48,341","$15,865","$26,671","$53,342",95834,38.64575,-121.529503
371964,21283,National Career Education,Citrus Heights,Sacramento,Sacramento-Tahoe,4,Certificate,Private for-profit,438,4.5,"$38,015","$5,539","$24,800","$24,800",95610,38.679835,-121.273917
125532,9748,Carrington College-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,5,Certificate,Private for-profit,"2,262",5.2,"$39,633","$7,157","$37,143","$37,143",95826,38.556104,-121.371383
457208,25594,InterCoast Colleges-Rancho Cordova,Rancho Cordova,Sacramento,Sacramento-Tahoe,6,Certificate,Private for-profit,78,6.5,"$36,089","$3,613","$23,629","$23,629",95827,38.561309,-121.334243
448372,21207,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,Sacramento,Sacramento-Tahoe,7,Associate's,Private for-profit,226,9.3,"$38,317","$5,841","$27,288","$54,576",95670-5642,38.595187,-121.28191
446093,38743,Sutter County Career Training Center,Yuba City,Sutter,Sacramento-Tahoe,8,Certificate,Private for-profit,50,10.5,"$34,846","$2,370","$24,876","$24,876",95993,39.139961,-121.652275
494357,39696,UEI College-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,9,Certificate,Private for-profit,"1,086",No Economic ROI,"$30,848","-$1,628","$26,924","$26,924",95823-2512,38.494532,-121.454197
455761,41528,Paul Mitchell the School-Sacramento,Sacramento,Sacramento,Sacramento-Tahoe,9,Certificate,Private for-profit,342,No Economic ROI,"$30,336","-$2,140","$19,748","$19,748",95825,38.594752,-121.41594
114460,7253,Federico Beauty Institute,Sacramento,Sacramento,Sacramento-Tahoe,9,Certificate,Private for-profit,245,No Economic ROI,"$29,856","-$2,620","$25,736","$25,736",95834,38.64883,-121.497761
114947,22319,Gemological Institute of America-Carlsbad,Carlsbad,San Diego,San Diego,1,Certificate,Private non-profit,308,3.1,"$42,588","$10,112","$31,435","$31,435",92008,33.131313,-117.318765
434140,22171,Pima Medical Institute-Chula Vista,Chula Vista,San Diego,San Diego,2,Certificate,Private for-profit,675,3.5,"$38,673","$6,197","$21,925","$21,925",91910,32.619858,-117.093388
120661,7930,Concorde Career College-San Diego,San Diego,San Diego,San Diego,3,Certificate,Private for-profit,178,3.7,"$39,169","$6,693","$24,477","$24,477",92113-1964,32.702814,-117.102845
492449,22171,Pima Medical Institute-San Marcos,San Marcos,San Diego,San Diego,4,Certificate,Private for-profit,630,4.8,"$38,673","$6,197","$29,950","$29,950",92078-8702,33.136906,-117.160199
444361,35324,ATA College,El Cajon,San Diego,San Diego,5,Certificate,Private for-profit,106,8.2,"$35,017","$2,541","$20,906","$20,906",92020,32.819023,-116.981781
494746,23385,North-West College-San Diego,San Diego,San Diego,San Diego,6,Associate's,Private for-profit,551,9.6,"$41,472","$8,996","$43,043","$86,086",92115-1506,32.765537,-117.066577
111708,23328,CET-San Diego,San Diego,San Diego,San Diego,7,Certificate,Private non-profit,225,39.0,"$32,986",$510,"$19,875","$19,875",92102,32.711302,-117.105328
468848,25593,UEI College-Oceanside,Oceanside,San Diego,San Diego,8,Certificate,Private for-profit,777,No Economic ROI,"$31,141","-$1,335","$25,560","$25,560",92058-2321,33.204442,-117.36182
447607,25593,UEI College-Chula Vista,Chula Vista,San Diego,San Diego,8,Certificate,Private for-profit,"1,344",No Economic ROI,"$31,141","-$1,335","$26,798","$26,798",91911-3262,32.608605,-117.065355
116563,12026,Bellus Academy-El Cajon,El Cajon,San Diego,San Diego,8,Certificate,Private for-profit,205,No Economic ROI,"$30,807","-$1,669","$29,547","$29,547",92021,32.794072,-116.94627
449968,25318,Paul Mitchell the School-San Diego,San Diego,San Diego,San Diego,8,Certificate,Private for-profit,250,No Economic ROI,"$26,897","-$5,579","$25,671","$25,671",92101,32.719128,-117.160838
109730,25535,Associated Technical College-San Diego,San Diego,San Diego,San Diego,8,Certificate,Private for-profit,77,No Economic ROI,"$26,688","-$5,788","$24,674","$24,674",92108-1630,32.773178,-117.135196
378576,30277,Pacific College of Health and Science,San Diego,San Diego,San Diego,8,Certificate,Private for-profit,173,No Economic ROI,"$26,209","-$6,267","$39,710","$39,710",92108-4407,32.778391,-117.16073
377722,23434,Bellus Academy-Poway,Poway,San Diego,San Diego,8,Certificate,Private for-profit,369,No Economic ROI,"$25,223","-$7,253","$30,336","$30,336",92064,32.957184,-117.042531
454795,41417,Healing Hands School of Holistic Health,Escondido,San Diego,San Diego,8,Certificate,Private for-profit,256,No Economic ROI,"$24,366","-$8,110","$56,381","$56,381",92025,33.124571,-117.078694
109934,7050,Bellus Academy-Chula Vista,Chula Vista,San Diego,San Diego,8,Certificate,Private for-profit,379,No Economic ROI,"$23,576","-$8,900","$20,159","$20,159",91911,32.614773,-117.083738
365125,25372,Palomar Institute of Cosmetology,San Marcos,San Diego,San Diego,8,Certificate,Private for-profit,173,No Economic ROI,"$23,451","-$9,025","$18,176","$18,176",92078,33.13663,-117.188351
111054,11865,California Hair Design Academy,La Mesa,San Diego,San Diego,8,Certificate,Private for-profit,125,No Economic ROI,"$19,347","-$13,129","$40,350","$40,350",91942-5055,32.765221,-117.024261
495934,21207,San Joaquin Valley College-Delano,Delano,Kern,San Joaquin Valley,1,Certificate,Private for-profit,83,3.6,"$38,317","$5,841","$20,843","$20,843",93215-9691,35.774826,-119.229077
262457,21207,San Joaquin Valley College-Fresno,Fresno,Fresno,San Joaquin Valley,2,Certificate,Private for-profit,481,3.9,"$38,317","$5,841","$23,045","$23,045",93710-3616,36.829907,-119.784003
122694,21207,San Joaquin Valley College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,3,Certificate,Private for-profit,820,4.0,"$38,317","$5,841","$23,393","$23,393",93309-2659,35.352848,-119.062071
495998,21207,San Joaquin Valley College-Porterville,Porterville,Tulare,San Joaquin Valley,4,Certificate,Private for-profit,98,4.0,"$38,317","$5,841","$23,531","$23,531",93257-3730,36.071598,-119.01576
422020,21207,San Joaquin Valley College-Trades Education Center,Fresno,Fresno,San Joaquin Valley,5,Certificate,Private for-profit,292,4.1,"$38,317","$5,841","$24,093","$24,093",93727-1501,36.776798,-119.72824
447351,21207,San Joaquin Valley College-Modesto,Salida,Stanislaus,San Joaquin Valley,6,Certificate,Private for-profit,590,4.2,"$38,317","$5,841","$24,617","$24,617",95368-9090,37.717403,-121.092991
450696,9748,Carrington College-Stockton,Stockton,San Joaquin,San Joaquin Valley,7,Certificate,Private for-profit,429,4.2,"$39,633","$7,157","$30,387","$30,387",95207-5509,37.998992,-121.323199
122685,21207,San Joaquin Valley College-Visalia,Visalia,Tulare,San Joaquin Valley,8,Certificate,Private for-profit,"2,270",5.0,"$38,317","$5,841","$29,092","$29,092",93291-9283,36.328049,-119.384981
497338,23385,Glendale Career College-North-West College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,9,Certificate,Private for-profit,387,5.5,"$41,472","$8,996","$49,781","$49,781",93304-5075,35.339951,-119.035082
431141,30675,Institute of Technology,Clovis,Fresno,San Joaquin Valley,10,Certificate,Private for-profit,"1,376",8.8,"$35,095","$2,619","$23,027","$23,027",93612,36.83679,-119.723249
112288,24973,Milan Institute-Visalia,Visalia,Tulare,San Joaquin Valley,11,Certificate,Private for-profit,632,1684.6,"$32,493",$17,"$28,638","$28,638",93277,36.27164,-119.312151
459198,41659,Paul Mitchell the School-Fresno,Fresno,Fresno,San Joaquin Valley,12,Certificate,Private for-profit,262,No Economic ROI,"$29,671","-$2,805","$20,048","$20,048",93710,36.809778,-119.782437
397942,31133,UEI College-Fresno,Fresno,Fresno,San Joaquin Valley,12,Certificate,Private for-profit,974,No Economic ROI,"$27,688","-$4,788","$28,271","$28,271",93726-5398,36.782858,-119.789002
118143,7142,Lyle's College of  Beauty,Fresno,Fresno,San Joaquin Valley,12,Certificate,Private for-profit,77,No Economic ROI,"$25,913","-$6,563","$17,560","$17,560",93710,36.836265,-119.774167
448895,34223,Milan Institute-Clovis,Clovis,Fresno,San Joaquin Valley,12,Certificate,Private for-profit,569,No Economic ROI,"$24,879","-$7,597","$21,941","$21,941",93612,36.810625,-119.725573
482291,31133,UEI College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,12,Certificate,Private for-profit,"1,385",No Economic ROI,"$27,688","-$4,788","$27,712","$27,712",93308-0000,35.381617,-119.049925
118134,7142,Lyle's College of Beauty,Bakersfield,Kern,San Joaquin Valley,12,Certificate,Private for-profit,96,No Economic ROI,"$25,913","-$6,563","$19,746","$19,746",93301,35.386539,-119.02387
457077,34223,Milan Institute-Bakersfield,Bakersfield,Kern,San Joaquin Valley,12,Certificate,Private for-profit,514,No Economic ROI,"$24,879","-$7,597","$29,198","$29,198",93301,35.385513,-119.023088
482060,34223,Milan Institute-Merced,Merced,Merced,San Joaquin Valley,12,Certificate,Private for-profit,308,No Economic ROI,"$24,879","-$7,597","$28,094","$28,094",95340-2626,37.322518,-120.481067
123350,20643,Sierra College of Beauty,Merced,Merced,San Joaquin Valley,12,Certificate,Private for-profit,245,No Economic ROI,"$18,519","-$13,957","$11,519","$11,519",95340,37.306975,-120.495874
480471,25593,UEI College-Stockton,Stockton,San Joaquin,San Joaquin Valley,12,Certificate,Private for-profit,823,No Economic ROI,"$31,141","-$1,335","$25,283","$25,283",95207-0000,37.99756,-121.308461
444529,37593,Stellar Career College,Modesto,Stanislaus,San Joaquin Valley,12,Certificate,Private for-profit,50,No Economic ROI,"$30,337","-$2,139","$13,155","$13,155",95356,37.701963,-121.071015
459170,41628,Paul Mitchell the School-Modesto,Modesto,Stanislaus,San Joaquin Valley,12,Certificate,Private for-profit,305,No Economic ROI,"$28,691","-$3,785","$17,550","$17,550",95350,37.68301,-120.993745
119951,7187,North Adrian's College of Beauty Inc,Modesto,Stanislaus,San Joaquin Valley,12,Certificate,Private for-profit,213,No Economic ROI,"$27,269","-$5,207","$20,347","$20,347",95350-2381,37.677778,-120.992753
110875,20657,California Beauty School,Modesto,Stanislaus,San Joaquin Valley,12,Certificate,Private for-profit,73,No Economic ROI,"$22,255","-$10,221","$11,547","$11,547",95354,37.645371,-120.997481
262369,25204,Adrian's Beauty College of Turlock,Turlock,Stanislaus,San Joaquin Valley,12,Certificate,Private for-profit,71,No Economic ROI,"$18,199","-$14,277","$24,393","$24,393",95380,37.491448,-120.863784
417062,21678,Estes Institute of Cosmetology Arts and Science,Visalia,Tulare,San Joaquin Valley,12,Certificate,Private for-profit,41,No Economic ROI,"$26,965","-$5,511","$12,990","$12,990",93291,36.330422,-119.289234
