UNITID,OPEID6,Institution,City,County,Region,Regional Rank,Predominant Award,Sector,Undergraduate Degree-seeking students,ROI: Years to Recoup Net Costs,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Based off of Predominant Credential),ZIP,Latitude,Longitude
489371,25964,Spartan College of Aeronautics and Technology,Riverside,Riverside,Inland Empire,1,Certificate,Private for-profit,261,1.1,"$61,575","$29,099","$32,884","$32,884",92509-8716,33.990127,#REF!
455734,39353,California Nurses Educational Institute,Palm Springs,Riverside,Inland Empire,2,Certificate,Private for-profit,114,1.5,"$46,895","$14,419","$21,278","$21,278",92264,33.816672,-116.490142
438504,8221,Universal Technical Institute of California Inc,Rancho Cucamonga,San Bernardino,Inland Empire,3,Associate's,Private for-profit,"1,484",2.3,"$52,873","$20,397","$23,526","$47,052",91730-0000,34.082782,-117.576366
124706,8537,Concorde Career College-San Bernardino,San Bernardino,San Bernardino,Inland Empire,4,Certificate,Private for-profit,260,3.1,"$39,993","$7,517","$23,161","$23,161",92408-3403,34.066823,-117.283995
400080,31081,Summit College,San Bernardino,San Bernardino,Inland Empire,5,Certificate,Private for-profit,"1,210",3.1,"$40,187","$7,711","$24,161","$24,161",92408,34.072073,-117.26818
445364,12872,North-West College-Riverside,Riverside,Riverside,Inland Empire,6,Certificate,Private for-profit,680,3.9,"$39,876","$7,400","$29,106","$29,106",92503,33.9145,-117.485881
456852,21207,San Joaquin Valley College-Hesperia,Hesperia,San Bernardino,Inland Empire,7,Certificate,Private for-profit,437,4.0,"$38,317","$5,841","$23,634","$23,634",92344-8086,34.420693,-117.383116
495952,21207,San Joaquin Valley College-Rancho Mirage,Rancho Mirage,Riverside,Inland Empire,8,Certificate,Private for-profit,242,4.1,"$38,317","$5,841","$24,175","$24,175",92270-2701,33.798782,-116.390793
442444,21207,San Joaquin Valley College-Ontario,Ontario,San Bernardino,Inland Empire,9,Certificate,Private for-profit,"1,022",4.4,"$38,317","$5,841","$25,595","$25,595",91764-5107,34.068584,-117.55038
475176,21207,San Joaquin Valley College-Temecula,Temecula,Riverside,Inland Empire,10,Certificate,Private for-profit,649,4.6,"$38,317","$5,841","$26,652","$26,652",92590-5678,33.525983,-117.166502
437750,33673,Professional Golfers Career College,Temecula,Riverside,Inland Empire,11,Associate's,Private for-profit,110,4.6,"$46,079","$13,603","$31,397","$62,794",92591,33.528952,-117.163739
447768,39713,American Career College-Ontario,Ontario,San Bernardino,Inland Empire,12,Certificate,Private for-profit,"2,014",5.0,"$38,492","$6,016","$29,807","$29,807",91764,34.068204,-117.583814
446163,38744,Community Christian College,Redlands,San Bernardino,Inland Empire,13,Associate's,Private non-profit,428,5.9,"$39,217","$6,741","$20,033","$40,066",92374-2893,34.068664,-117.217101
480204,30627,Platt College-Riverside,Riverside,Riverside,Inland Empire,14,Associate's,Private for-profit,416,6.4,"$40,669","$8,193","$26,217","$52,434",92507,33.932923,-117.298365
432384,30627,Platt College-Ontario,Ontario,San Bernardino,Inland Empire,15,Associate's,Private for-profit,467,6.6,"$40,669","$8,193","$27,002","$54,004",91764,34.068595,-117.571744
442888,25594,InterCoast Colleges-Riverside,Riverside,Riverside,Inland Empire,16,Certificate,Private for-profit,63,6.6,"$36,089","$3,613","$23,880","$23,880",92508,33.888511,-117.281383
381255,23328,CET-Coachella,Coachella,Riverside,Inland Empire,17,Certificate,Private non-profit,84,22.0,"$32,986",$510,"$11,202","$11,202",92236,33.692248,-116.185875
111744,23328,CET-Colton,Colton,San Bernardino,Inland Empire,18,Certificate,Private non-profit,191,31.0,"$32,986",$510,"$15,800","$15,800",92324,34.077381,-117.353488
422835,31444,American College of Healthcare and Technology,Riverside,Riverside,Inland Empire,19,Certificate,Private for-profit,321,No Economic ROI,"$31,109","-$1,367","$15,115","$15,115",92505,33.901581,-117.493507
470038,39696,UEI College-Riverside,Riverside,Riverside,Inland Empire,19,Certificate,Private for-profit,"1,447",No Economic ROI,"$30,848","-$1,628","$25,704","$25,704",92507-5344,33.975392,-117.351755
442657,30987,Milan Institute-Palm Desert,Palm Desert,Riverside,Inland Empire,19,Certificate,Private for-profit,290,No Economic ROI,"$29,491","-$2,985","$27,930","$27,930",92211,33.783343,-116.353268
454698,41156,Mayfield College,Cathedral City,Riverside,Inland Empire,19,Certificate,Private for-profit,316,No Economic ROI,"$29,384","-$3,092","$22,604","$22,604",92234,33.790822,-116.458827
457323,41670,Paul Mitchell the School-Temecula,Temecula,Riverside,Inland Empire,19,Certificate,Private for-profit,275,No Economic ROI,"$22,452","-$10,024","$33,646","$33,646",92591,33.507316,-117.146674
121868,13095,Salon Success Academy-Corona,Corona,Riverside,Inland Empire,19,Certificate,Private for-profit,216,No Economic ROI,"$22,412","-$10,064","$12,983","$12,983",92881,33.847649,-117.535638
