UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM,COUNTYFIP,median_earnings_10yr,total_net_price,N_unweighted_x,weight_sum_x,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income,N_unweighted_y,weight_sum_y
119331,1247,Napa Valley College,Napa,Napa,Bay Area,19,1.6,Associate's,Public,3205,49517,"$17,041 ",14046,28092,94558-6236,38.274081,-122.274381,2771.0,4300.0,55,49517,28092,161.0,3350.0,17041.0,24418.0,1.6484948066428027,1.150462773363912,67,82,-15,25099.0,161.0,3350.0
108667,6720,College of Alameda,Alameda,Alameda,Bay Area,20,1.8,Associate's,Public,4274,42563,"$10,087 ",9280,18560,94501,37.781017,-122.279303,5549.0,6853.0,1,42563,18560,1474.0,38543.0,10087.0,15426.0,1.8399920689997027,1.2031634902113315,72,85,-13,27137.0,1474.0,38543.0
125170,22427,Berkeley City College,Berkeley,Alameda,Bay Area,21,2.0,Associate's,Public,4541,41217,"$8,741 ",8957,17914,94704,37.869769,-122.269877,5326.0,7019.0,1,41217,17914,1474.0,38543.0,8741.0,14080.0,2.049422262898982,1.2723011363636363,80,88,-8,27137.0,1474.0,38543.0
122746,1282,San Jose City College,San Jose,Santa Clara,Bay Area,22,2.4,Certificate,Public,7039,46215,"$13,739 ",16658,33316,95128-2798,37.315827,-121.926185,6645.0,10139.0,85,46215,33316,1488.0,35243.0,13739.0,12715.0,2.424921755586287,2.62021234762092,87,111,-24,33500.0,1488.0,35243.0
118772,1267,Merritt College,Oakland,Alameda,Bay Area,23,2.5,Associate's,Public,5153,44392,"$11,916 ",14742,29484,94619-3196,37.789088,-122.167335,6099.0,7408.0,1,44392,29484,1474.0,38543.0,11916.0,17255.0,2.474320241691843,1.7087221095334686,89,97,-8,27137.0,1474.0,38543.0
118347,1178,College of Marin,Kentfield,Marin,Bay Area,24,3.0,Associate's,Public,3928,42654,"$10,178 ",15517,31034,94904-2590,37.951918,-122.548758,2255.0,5415.0,41,42654,31034,117.0,3120.0,10178.0,16623.0,3.049125564943997,1.8669313601636288,92,103,-11,26031.0,117.0,3120.0
382258,30624,Mt. Diablo Adult Education-Mt. Diablo USD,Concord,Contra Costa,Bay Area,25,3.2,Certificate,Public,153,40175,"$7,699 ",12260,24520,94518-1199,37.968852,-122.026805,,,13,40175,24520,980.0,28713.0,7699.0,15175.0,3.1848291985972206,1.615815485996705,93,96,-3,25000.0,980.0,28713.0
117247,1266,Laney College,Oakland,Alameda,Bay Area,26,6.6,Associate's,Public,7158,37282,"$4,806 ",15805,31610,94607,37.797257,-122.26283,7879.0,9775.0,1,37282,31610,1474.0,38543.0,4806.0,10145.0,6.57719517270079,3.1158206012814196,106,113,-7,27137.0,1474.0,38543.0
119137,7115,Moorpark College,Moorpark,Ventura,Central Coast,1,0.1,Associate's,Public,12011,49044,"$16,568 ",742,1484,93021-1695,34.301146,-118.834528,9556.0,16396.0,111,49044,1484,1070.0,24640.0,16568.0,20906.0,0.0895702559150169,0.0709844063905099,7,7,0,28138.0,1070.0,24640.0
120421,12842,Oxnard College,Oxnard,Ventura,Central Coast,2,0.1,Associate's,Public,6059,41393,"$8,917 ",659,1318,93033-6699,34.166104,-119.157604,6911.0,8697.0,111,41393,1318,1070.0,24640.0,8917.0,13255.0,0.14780755859594033,0.0994341757827235,9,9,0,28138.0,1070.0,24640.0
