UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM,COUNTYFIP,median_earnings_10yr,total_net_price,N_unweighted_x,weight_sum_x,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income,N_unweighted_y,weight_sum_y
112686,42817,Compton College,Compton,Los Angeles,Los Angeles,23,13.0,Associate's,Public,2881,34181,"$1,705 ",11103,22206,90221-5393,33.878226,-118.209463,3806.0,4976.0,37,34181,22206,14123.0,330414.0,1705.0,10583.0,13.024046920821114,2.098270811679108,109,108,1,23598.0,14123.0,330414.0
417105,30674,Baldwin Park Adult & Community Education,Baldwin Park,Los Angeles,Los Angeles,24,,Certificate,Public,435,32069,($407),7450,14900,91706-4221,34.09673,-117.959486,,,37,32069,14900,14123.0,330414.0,0.0,8471.0,,1.7589422736394758,111,99,12,23598.0,14123.0,330414.0
117715,7047,Los Angeles Southwest College,Los Angeles,Los Angeles,Los Angeles,25,,Associate's,Public,3793,32172,($304),6683,13366,90047-4899,33.929586,-118.304674,7159.0,8725.0,37,32172,13366,14123.0,330414.0,0.0,8574.0,,1.5588989969675764,111,95,16,23598.0,14123.0,330414.0
123299,1289,Shasta College,Redding,Shasta,North-Far North,1,1.1,Associate's,Public,5536,39269,"$6,793 ",3743,7486,96003,40.625731,-122.317982,5576.0,7563.0,89,39269,7486,277.0,7389.0,6793.0,15671.0,1.1020167819814515,0.4776976580945696,51,42,9,23598.0,277.0,7389.0
121707,1185,College of the Redwoods,Eureka,Humboldt,North-Far North,2,1.7,Associate's,Public,3514,36243,"$3,767 ",3214,6428,95501-9300,40.698427,-124.195293,3914.0,4982.0,23,36243,6428,209.0,4480.0,3767.0,13733.0,1.7063976639235465,0.46806961334012964,69,41,28,22510.0,209.0,4480.0
116439,25395,Irvine Valley College,Irvine,Orange,Orange,1,0.2,Associate's,Public,9577,49156,"$16,680 ",1886,3772,92618-0301,33.675381,-117.777539,7928.0,16773.0,59,49156,3772,3207.0,79074.0,16680.0,21156.0,0.22613908872901678,0.17829457364341086,13,15,-2,28000.0,3207.0,79074.0
122205,8918,Saddleback College,Mission Viejo,Orange,Orange,2,0.3,Associate's,Public,15959,50874,"$18,398 ",2976,5952,92692-3635,33.553346,-117.665584,13887.0,30647.0,59,50874,5952,3207.0,79074.0,18398.0,22874.0,0.3235134253723231,0.26020809652881,17,19,-2,28000.0,3207.0,79074.0
115126,1206,Golden West College,Huntington Beach,Orange,Orange,3,0.5,Associate's,Public,8919,43145,"$10,669 ",2861,5722,92647-2710,33.732531,-118.002568,10952.0,16181.0,59,43145,5722,3207.0,79074.0,10669.0,15145.0,0.5363201799606336,0.3778144602178937,23,27,-4,28000.0,3207.0,79074.0
399212,36957,Santiago Canyon College,Orange,Orange,Orange,4,0.5,Certificate,Public,10613,44956,"$12,480 ",3407,6814,92869-4512,33.795449,-117.766762,8629.0,16002.0,59,44956,6814,3207.0,79074.0,12480.0,16956.0,0.5459935897435897,0.401863647086577,25,30,-5,28000.0,3207.0,79074.0
120342,1250,Orange Coast College,Costa Mesa,Orange,Orange,5,0.6,Certificate,Public,16117,47348,"$14,872 ",4754,9508,92626,33.66927,-117.909086,14646.0,22001.0,59,47348,9508,3207.0,79074.0,14872.0,19348.0,0.6393222162452932,0.4914203018399835,29,43,-14,28000.0,3207.0,79074.0
121619,1284,Santa Ana College,Santa Ana,Orange,Orange,6,0.7,Certificate,Public,22011,43552,"$11,076 ",3854,7708,92706-3398,33.759309,-117.887558,18369.0,32376.0,59,43552,7708,3207.0,79074.0,11076.0,15552.0,0.6959191043698086,0.4956275720164609,33,44,-11,28000.0,3207.0,79074.0
113236,1193,Cypress College,Cypress,Orange,Orange,7,0.8,Certificate,Public,12309,43533,"$11,057 ",4683,9366,90630-5897,33.82833,-118.025143,12649.0,15440.0,59,43533,9366,3207.0,79074.0,11057.0,15533.0,0.8470652075608212,0.6029743127534926,42,54,-12,28000.0,3207.0,79074.0
114859,1201,Fullerton College,Fullerton,Orange,Orange,8,1.5,Associate's,Public,16637,43366,"$10,890 ",8090,16180,92832-2095,33.875514,-117.918255,16490.0,21103.0,59,43366,16180,3207.0,79074.0,10890.0,15366.0,1.4857667584940313,1.0529740986593779,60,73,-13,28000.0,3207.0,79074.0
112385,20635,Coastline Community College,Fountain Valley,Orange,Orange,9,1.6,Associate's,Public,7007,44483,"$12,007 ",9605,19210,92708-2597,33.716054,-117.928979,9820.0,14888.0,59,44483,19210,3207.0,79074.0,12007.0,16483.0,1.5999000582993255,1.1654431838864285,65,83,-18,28000.0,3207.0,79074.0
123341,1290,Sierra College,Rocklin,Placer,Sacramento-Tahoe,1,0.7,Associate's,Public,13455,45294,"$12,818 ",4462,8924,95677-3397,38.790773,-121.211688,10546.0,16755.0,61,45294,8924,338.0,8081.0,12818.0,20294.0,0.6962084568575441,0.43973588252685525,34,36,-2,25000.0,338.0,8081.0
444219,38713,Folsom Lake College,Folsom,Sacramento,Sacramento-Tahoe,2,0.7,Associate's,Public,8937,42568,"$10,092 ",3661,7322,95630,38.661372,-121.127486,9711.0,13924.0,67,42568,7322,2193.0,56159.0,10092.0,17568.0,0.7255251684502576,0.4167805100182149,36,33,3,25000.0,2193.0,56159.0
122180,1233,Sacramento City College,Sacramento,Sacramento,Sacramento-Tahoe,3,0.8,Associate's,Public,16952,42214,"$9,738 ",3974,7948,95822-1386,38.541096,-121.491139,20013.0,25235.0,67,42214,7948,2193.0,56159.0,9738.0,17214.0,0.8161840213596221,0.4617172069245963,40,38,2,25000.0,2193.0,56159.0
113096,7536,Cosumnes River College,Sacramento,Sacramento,Sacramento-Tahoe,4,0.9,Associate's,Public,13527,42446,"$9,970 ",4648,9296,95823-5799,38.45295,-121.423108,15818.0,19766.0,67,42446,9296,2193.0,56159.0,9970.0,17446.0,0.9323971915747242,0.5328442049753526,44,47,-3,25000.0,2193.0,56159.0
455512,41438,Woodland Community College,Woodland,Yolo,Sacramento-Tahoe,6,1.1,Associate's,Public,2949,40042,"$7,566 ",4097,8194,95776,38.660392,-121.73533,3556.0,4502.0,113,40042,8194,201.0,4874.0,7566.0,17624.0,1.0830029077451757,0.4649341806627326,48,39,9,22418.0,201.0,4874.0
109208,1232,American River College,Sacramento,Sacramento,Sacramento-Tahoe,7,1.2,Associate's,Public,25758,40162,"$7,686 ",4628,9256,95841-4286,38.65085,-121.349672,23916.0,30026.0,67,40162,9256,2193.0,56159.0,7686.0,15162.0,1.2042674993494666,0.6104735523018071,54,56,-2,25000.0,2193.0,56159.0
123493,9509,Charles A Jones Career and Education Center,Sacramento,Sacramento,Sacramento-Tahoe,8,3.7,Certificate,Public,90,41047,"$8,571 ",15980,31960,95824-1529,38.516233,-121.440796,,,67,41047,31960,2193.0,56159.0,8571.0,16047.0,3.7288531093221327,1.991649529507073,99,106,-7,25000.0,2193.0,56159.0
117195,12907,Lake Tahoe Community College,South Lake Tahoe,El Dorado,Sacramento-Tahoe,9,5.2,Associate's,Public,2909,36657,"$4,181 ",10975,21950,96150,38.926797,-119.972574,2441.0,5052.0,17,36657,21950,174.0,4721.0,4181.0,7394.0,5.249940205692418,2.9686232080064916,104,112,-8,29263.0,174.0,4721.0
122384,11820,San Diego Miramar College,San Diego,San Diego,San Diego,1,0.0,Associate's,Public,10740,48224,"$15,748 ",-2735,-5470,92126-2999,32.909757,-117.120261,12311.0,18000.0,73,48224,0,3704.0,99359.0,15748.0,22267.0,0.0,0.0,1,1,0,25957.0,3704.0,99359.0
122375,1275,San Diego Mesa College,San Diego,San Diego,San Diego,2,0.0,Associate's,Public,15899,45120,"$12,644 ",-904,-1808,92111-4998,32.803825,-117.169165,18043.0,24787.0,73,45120,0,3704.0,99359.0,12644.0,19163.0,0.0,0.0,1,1,0,25957.0,3704.0,99359.0
122339,1273,San Diego City College,San Diego,San Diego,San Diego,3,0.0,Associate's,Public,10584,38503,"$6,027 ",-818,-1636,92101-4787,32.717403,-117.152733,13712.0,17264.0,73,38503,0,3704.0,99359.0,6027.0,12546.0,0.0,0.0,1,1,0,25957.0,3704.0,99359.0
115296,1208,Grossmont College,El Cajon,San Diego,San Diego,4,0.7,Associate's,Public,11467,40309,"$7,833 ",2755,5510,92020-1799,32.815246,-117.006277,11466.0,15585.0,73,40309,5510,3704.0,99359.0,7833.0,14352.0,0.7034341886888804,0.38391861761426976,35,28,7,25957.0,3704.0,99359.0
120971,1260,Palomar College,San Marcos,San Diego,San Diego,5,1.1,Certificate,Public,16167,42300,"$9,824 ",5247,10494,92069-1487,33.149483,-117.183978,11260.0,19866.0,73,42300,10494,3704.0,99359.0,9824.0,16343.0,1.068200325732899,0.6421097717677293,47,60,-13,25957.0,3704.0,99359.0
118912,1239,MiraCosta College,Oceanside,San Diego,San Diego,6,1.3,Certificate,Public,10474,43845,"$11,369 ",7178,14356,92056-3899,33.190483,-117.302606,9287.0,16300.0,73,43845,14356,3704.0,99359.0,11369.0,17888.0,1.2627319905004837,0.8025491949910555,57,65,-8,25957.0,3704.0,99359.0
123800,1294,Southwestern College,Chula Vista,San Diego,San Diego,7,2.9,Associate's,Public,16640,40060,"$7,584 ",10893,21786,91910-7299,32.640281,-116.996803,16636.0,22553.0,73,40060,21786,3704.0,99359.0,7584.0,14103.0,2.872626582278481,1.5447777068708786,91,94,-3,25957.0,3704.0,99359.0
113218,21113,Cuyamaca College,El Cajon,San Diego,San Diego,8,,Associate's,Public,6788,32435,($41),6187,12374,92019,32.744305,-116.942854,8125.0,10384.0,73,32435,12374,3704.0,99359.0,0.0,6478.0,,1.9101574560049397,111,104,7,25957.0,3704.0,99359.0
123217,1186,College of the Sequoias,Visalia,Tulare,San Joaquin Valley,1,0.0,Associate's,Public,10752,39092,"$6,616 ",29,58,93277-2214,36.323877,-119.315182,12007.0,15131.0,107,39092,58,840.0,21186.0,6616.0,19092.0,0.008766626360338573,0.0030379216425728056,6,6,0,20000.0,840.0,21186.0
117052,1308,Reedley College,Reedley,Fresno,San Joaquin Valley,2,0.5,Certificate,Public,4853,38493,"$6,017 ",1584,3168,93654,36.605428,-119.458555,7333.0,9114.0,19,38493,3168,1519.0,42470.0,6017.0,18435.0,0.526508226691042,0.17184703010577707,22,14,8,20058.0,1519.0,42470.0
114789,1307,Fresno City College,Fresno,Fresno,San Joaquin Valley,3,0.7,Associate's,Public,18774,37361,"$4,885 ",1699,3398,93741,36.768164,-119.796096,20035.0,23927.0,19,37361,3398,1519.0,42470.0,4885.0,17303.0,0.6955987717502559,0.19638213026642778,32,16,16,20058.0,1519.0,42470.0
124113,1309,Taft College,Taft,Kern,San Joaquin Valley,4,0.8,Associate's,Public,3216,38861,"$6,385 ",2699,5398,93268,35.149343,-119.459751,2324.0,2780.0,29,38861,5398,1751.0,44766.0,6385.0,17861.0,0.8454189506656226,0.3022227198925032,41,22,19,21000.0,1751.0,44766.0
122658,1280,San Joaquin Delta College,Stockton,San Joaquin,San Joaquin Valley,5,1.6,Associate's,Public,13964,43212,"$10,736 ",8508,17016,95207,37.995562,-121.317597,16268.0,20353.0,77,43212,17016,1303.0,35412.0,10736.0,13715.0,1.5849478390461997,1.2406853809697411,63,86,-23,29497.0,1303.0,35412.0
118718,1237,Merced College,Merced,Merced,San Joaquin Valley,6,1.6,Associate's,Public,9677,37815,"$5,339 ",4260,8520,95348-2806,37.3353,-120.476464,9863.0,12644.0,47,37815,8520,503.0,14502.0,5339.0,15397.0,1.5958044577636261,0.553354549587582,64,49,15,22418.0,503.0,14502.0
121363,1268,Porterville College,Porterville,Tulare,San Joaquin Valley,7,1.9,Associate's,Public,2775,36328,"$3,852 ",3728,7456,93257,36.049256,-119.014368,3970.0,4695.0,107,36328,7456,840.0,21186.0,3852.0,16328.0,1.9356178608515058,0.4566389024987751,76,37,39,20000.0,840.0,21186.0
109819,1118,Bakersfield College,Bakersfield,Kern,San Joaquin Valley,8,2.0,Associate's,Public,16451,37291,"$4,815 ",4751,9502,93305-1299,35.40911,-118.973753,24394.0,29744.0,29,37291,9502,1751.0,44766.0,4815.0,16291.0,1.973416407061267,0.5832668344484685,77,52,25,21000.0,1751.0,44766.0
448594,41113,Lemoore College,Lemoore,Kings,San Joaquin Valley,9,2.0,Associate's,Public,3223,40292,"$7,816 ",7961,15922,93245,36.292431,-119.823866,3523.0,4135.0,31,40292,15922,409.0,7861.0,7816.0,25292.0,2.037103377686796,0.6295271232010122,79,57,22,15000.0,409.0,7861.0
118976,1240,Modesto Junior College,Modesto,Stanislaus,San Joaquin Valley,10,2.1,Associate's,Public,14714,42368,"$9,892 ",10176,20352,95350-5800,37.651056,-121.009792,16121.0,21159.0,99,42368,20352,942.0,25820.0,9892.0,16128.0,2.0574201374848364,1.2619047619047619,82,87,-5,26240.0,942.0,25820.0
125462,1176,Coalinga College,Coalinga,Fresno,San Joaquin Valley,11,3.3,Associate's,Public,2177,37633,"$5,157 ",8626,17252,93210,36.147891,-120.356747,2858.0,3345.0,19,37633,17252,1519.0,42470.0,5157.0,17575.0,3.3453558270312196,0.9816216216216216,96,70,26,20058.0,1519.0,42470.0
111896,10111,Cerro Coso Community College,Ridgecrest,Kern,San Joaquin Valley,12,4.9,Associate's,Public,3496,34963,"$2,487 ",6078,12156,93555-9571,35.567525,-117.66767,4528.0,6138.0,29,34963,12156,1751.0,44766.0,2487.0,13963.0,4.887816646562123,0.8705865501683019,102,68,34,21000.0,1751.0,44766.0
110246,8073,Butte College,Oroville,Butte,Upper Sacramento Valley,1,1.0,Associate's,Public,8384,41810,"$9,334 ",4632,9264,95965-8399,39.649782,-121.644831,7883.0,10571.0,7,41810,9264,272.0,5609.0,9334.0,26810.0,0.9925005356760231,0.34554270794479675,46,25,21,15000.0,272.0,5609.0
