OPEID6,Institution,County,Sector,median_earnings_10yr,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income
41528,Paul Mitchell the School-Sacramento,Sacramento,Private for-profit,30336,19748,5396.560000000001,5336.0,3.659368190106289,3.7008995502248876,239.0,242.0,3.0,25000.0
41582,Paul Mitchell the School-Sherman Oaks,Los Angeles,Private for-profit,26262,26369,1322.5600000000013,2664.0,19.937847810307264,9.898273273273274,276.0,270.0,-6.0,23598.0
41597,American Medical Sciences Center,Los Angeles,Private for-profit,29972,23566,5032.560000000001,6374.0,4.682706217114151,3.6972074050831503,255.0,241.0,-14.0,23598.0
41604,Angeles College,Los Angeles,Private for-profit,49108,25805,24168.56,25510.0,1.067709453935195,1.01156409251274,145.0,142.0,-3.0,23598.0
41628,Paul Mitchell the School-Modesto,Stanislaus,Private for-profit,28691,17550,3751.5600000000013,2451.0,4.6780539295653,7.160342717258262,254.0,265.0,11.0,26240.0
41644,Angeles Institute,Los Angeles,Private for-profit,61195,23161,36255.56,37597.0,0.6388261552159172,0.6160331941378302,102.0,99.0,-3.0,23598.0
41659,Paul Mitchell the School-Fresno,Fresno,Private for-profit,29671,20048,4731.560000000001,9613.0,4.237080370955878,2.085509206283158,247.0,209.0,-38.0,20058.0
41670,Paul Mitchell the School-Temecula,Riverside,Private for-profit,22452,33646,-2487.4399999999987,-3505.0,999.0,999.0,,,,25957.0
41697,Unitek College,Alameda,Private for-profit,79550,25719,54610.56,52413.0,0.4709528706535879,0.49069887241714844,77.0,78.0,1.0,27137.0
41698,Gurnick Academy of Medical Arts,Santa Clara,Private for-profit,66844,30558,41904.56,33344.0,0.7292285135555654,0.9164467370441459,111.0,131.0,20.0,33500.0
41734,Santa Ana Beauty Academy,Orange,Private for-profit,28107,7995,3167.5600000000013,107.0,2.524024801424439,74.7196261682243,230.0,284.0,54.0,28000.0
41735,Moreno Valley College,Riverside,Public,52133,1996,27193.56,26176.0,0.07339973140699489,0.07625305623471883,11.0,11.0,0.0,25957.0
41752,Paul Mitchell the School-East Bay,Contra Costa,Private for-profit,29418,30889,4478.560000000001,4418.0,6.897082990961378,6.991625169760073,264.0,264.0,0.0,25000.0
41754,Elite Cosmetology School,Riverside,Private for-profit,17966,17818,-6973.439999999999,-7991.0,999.0,999.0,,,,25957.0
41761,Norco College,Riverside,Public,51206,2845,26266.56,25249.0,0.1083126225893303,0.11267772981108162,15.0,17.0,2.0,25957.0
41800,Cinta Aveda Institute,San Francisco,Private for-profit,34937,10821,9997.560000000001,12029.0,1.0823640968396286,0.8995760246071993,147.0,127.0,-20.0,22908.0
41812,Southern California Health Institute,Los Angeles,Private for-profit,34558,26692,9618.560000000001,10960.0,2.7750515669705234,2.4354014598540146,235.0,220.0,-15.0,23598.0
41954,Unitek College,San Mateo,Private for-profit,87877,28283,62937.56,57877.0,0.44938189532609785,0.48867425747706345,73.0,76.0,3.0,30000.0
41954,Unitek College,Alameda,Private for-profit,87877,27158,62937.56,60740.0,0.4315070364977607,0.4471188673032598,69.0,74.0,5.0,27137.0
42817,Compton College,Los Angeles,Public,34181,11103,9241.560000000001,10583.0,1.2014205393894535,1.049135405839554,155.0,145.0,-10.0,23598.0
