OPEID6,Institution,County,Sector,median_earnings_10yr,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income
9748,Carrington College-San Jose,Santa Clara,Private for-profit,39633,31043,14693.560000000001,6133.0,2.112694268781697,5.0616337844448065,210.0,255.0,45.0,33500.0
9748,Carrington College-Sacramento,Sacramento,Private for-profit,39633,37143,14693.560000000001,14633.0,2.5278421294771314,2.5383038338003145,231.0,223.0,-8.0,25000.0
10111,Cerro Coso Community College,Kern,Public,34963,6078,10023.560000000001,13963.0,0.6063713890074982,0.43529327508415094,100.0,72.0,-28.0,21000.0
10340,Los Medanos College,Contra Costa,Public,42454,5692,17514.56,17454.0,0.3249867538779164,0.32611435774034603,60.0,65.0,5.0,25000.0
11112,FIDM-Fashion Institute of Design & Merchandising,Los Angeles,Private for-profit,49840,41493,24900.56,26242.0,1.6663480660675904,1.5811675939333891,170.0,174.0,4.0,23598.0
11672,Mendocino College,Mendocino,Public,40243,7500,15303.560000000001,15303.560000000001,0.49008204626897267,0.49008204626897267,80.0,77.0,-3.0,
11707,North-West College-Glendale,Los Angeles,Private for-profit,37542,34899,12602.560000000001,13944.0,2.769199273798339,2.5027969018932876,234.0,221.0,-13.0,23598.0
11707,North-West College-West Covina,Los Angeles,Private for-profit,37542,28408,12602.560000000001,13944.0,2.25414518954879,2.0372920252438327,221.0,204.0,-17.0,23598.0
11820,San Diego Miramar College,San Diego,Public,48224,2735,23284.56,22267.0,0.11745981027771192,0.12282750258229667,18.0,18.0,0.0,25957.0
11865,California Hair Design Academy,San Diego,Private for-profit,19347,40350,-5592.439999999999,-6610.0,999.0,999.0,,,,25957.0
11866,Lu Ross Academy,Ventura,Private for-profit,23148,15711,-1791.4399999999987,-4990.0,999.0,999.0,,,,28138.0
12026,Bellus Academy-El Cajon,San Diego,Private for-profit,30807,29547,5867.560000000001,4850.0,5.035653661828766,6.0921649484536085,257.0,262.0,5.0,25957.0
12446,Universal College of Beauty Inc-Los Angeles 2,Los Angeles,Private for-profit,17821,18591,-7118.439999999999,-5777.0,999.0,999.0,,,,23598.0
12452,Evergreen Valley College,Santa Clara,Public,53077,12591,28137.56,19577.0,0.4474801653021797,0.6431526791643255,72.0,105.0,33.0,33500.0
12550,Los Angeles Mission College,Los Angeles,Public,39834,11972,14894.560000000001,16236.0,0.8037833947427785,0.7373737373737373,118.0,109.0,-9.0,23598.0
12842,Oxnard College,Ventura,Public,41393,659,16453.56,13255.0,0.0400521224586047,0.04971708789136175,5.0,7.0,2.0,28138.0
12872,North-West College-Riverside,Riverside,Private for-profit,39876,29106,14936.560000000001,13919.0,1.948641454257205,2.0910984984553487,197.0,210.0,13.0,25957.0
12872,North-West College-Pomona,Los Angeles,Private for-profit,39876,33256,14936.560000000001,16278.0,2.2264832063072086,2.0430028258999875,220.0,206.0,-14.0,23598.0
12872,North-West College-Long Beach,Los Angeles,Private for-profit,39876,32474,14936.560000000001,16278.0,2.1741284472462197,1.9949625261088586,215.0,202.0,-13.0,23598.0
12872,North-West College-Anaheim,Orange,Private for-profit,39876,31140,14936.560000000001,11876.0,2.0848173876715923,2.6220949814752443,207.0,227.0,20.0,28000.0
12907,Lake Tahoe Community College,El Dorado,Public,36657,10975,11717.560000000001,7394.0,0.9366284448298109,1.4843116040032458,135.0,166.0,31.0,29263.0
12912,MTI College,Sacramento,Private for-profit,45328,20336,20388.56,20328.0,0.9974220837567733,1.0003935458480913,140.0,139.0,-1.0,25000.0
12984,Professional Institute of Beauty,Los Angeles,Private for-profit,16886,13152,-8053.439999999999,-6712.0,999.0,999.0,,,,23598.0
13010,Lancaster Beauty School,Los Angeles,Private for-profit,16220,21235,-8719.439999999999,-7378.0,999.0,999.0,,,,23598.0
13074,American Beauty College,Los Angeles,Private for-profit,22481,24076,-2458.4399999999987,-1117.0,999.0,999.0,,,,23598.0
13095,Salon Success Academy-Corona,Riverside,Private for-profit,22412,12983,-2527.4399999999987,-3545.0,999.0,999.0,,,,25957.0
13095,Salon Success Academy-Redlands,San Bernardino,Private for-profit,22412,14662,-2527.4399999999987,-1588.0,999.0,999.0,,,,24000.0
13095,Salon Success Academy-Fontana,San Bernardino,Private for-profit,22412,10813,-2527.4399999999987,-1588.0,999.0,999.0,,,,24000.0
13240,Lytles Redwood Empire Beauty College,Sonoma,Private for-profit,20358,24603,-4581.439999999999,-9842.0,999.0,999.0,,,,30200.0
20635,Coastline Community College,Orange,Public,44483,9605,19543.56,16483.0,0.4914662425883513,0.5827215919432143,81.0,96.0,15.0,28000.0
20643,Sierra College of Beauty,Merced,Private for-profit,18519,11519,-6420.439999999999,-3899.0,999.0,999.0,,,,22418.0
20657,California Beauty School,Stanislaus,Private for-profit,22255,11547,-2684.4399999999987,-3985.0,999.0,999.0,,,,26240.0
21005,Universal Technical Institute of Northern California Inc,Sacramento,Private for-profit,48341,26671,23401.56,23341.0,1.1397103440967182,1.1426674092798081,152.0,151.0,-1.0,25000.0
21113,Cuyamaca College,San Diego,Public,32435,6187,7495.560000000001,6478.0,0.8254219831473564,0.9550787280024698,122.0,134.0,12.0,25957.0
21191,Mission College,Santa Clara,Public,50936,5198,25996.56,17436.0,0.1999495317842053,0.29811883459509064,33.0,56.0,23.0,33500.0
21207,San Joaquin Valley College-Santa Maria,Santa Barbara,Private for-profit,38317,20549,13377.560000000001,17079.0,1.536079823226358,1.2031734879091283,164.0,152.0,-12.0,21238.0
21207,San Joaquin Valley College-Delano,Kern,Private for-profit,38317,20843,13377.560000000001,17317.0,1.5580569251791805,1.2036149448518796,166.0,153.0,-13.0,21000.0
21207,San Joaquin Valley College-Fresno,Fresno,Private for-profit,38317,23045,13377.560000000001,18259.0,1.7226609336829735,1.2621173120105154,177.0,155.0,-22.0,20058.0
21207,San Joaquin Valley College-Bakersfield,Kern,Private for-profit,38317,23393,13377.560000000001,17317.0,1.7486746461985592,1.3508690881792458,179.0,164.0,-15.0,21000.0
21207,San Joaquin Valley College-Porterville,Tulare,Private for-profit,38317,23531,13377.560000000001,18317.0,1.7589904287478433,1.284653600480428,181.0,157.0,-24.0,20000.0
21207,San Joaquin Valley College-Trades Education Center,Fresno,Private for-profit,38317,24093,13377.560000000001,18259.0,1.8010010794195652,1.319513664494222,187.0,162.0,-25.0,20058.0
21207,San Joaquin Valley College-Modesto,Stanislaus,Private for-profit,38317,24617,13377.560000000001,12077.0,1.840171152287861,2.0383373354309846,190.0,205.0,15.0,26240.0
21207,San Joaquin Valley College-Hesperia,San Bernardino,Private for-profit,38317,23634,13377.560000000001,14317.0,1.766689889636077,1.6507648250331775,183.0,184.0,1.0,24000.0
21207,San Joaquin Valley College-Lancaster,Los Angeles,Private for-profit,38317,23940,13377.560000000001,14719.0,1.7895640161584023,1.6264691894829812,186.0,181.0,-5.0,23598.0
21207,San Joaquin Valley College-Visalia,Tulare,Private for-profit,38317,29092,13377.560000000001,18317.0,2.1746865646650058,1.5882513512037997,216.0,176.0,-40.0,20000.0
21207,San Joaquin Valley College-Temecula,Riverside,Private for-profit,38317,26652,13377.560000000001,12360.0,1.992291568866071,2.1563106796116505,199.0,214.0,15.0,25957.0
21207,San Joaquin Valley College-Ontario,San Bernardino,Private for-profit,38317,25595,13377.560000000001,14317.0,1.9132786547023521,1.7877348606551653,195.0,192.0,-3.0,24000.0
21207,San Joaquin Valley College-Rancho Mirage,Riverside,Private for-profit,38317,24175,13377.560000000001,12360.0,1.8071307473111686,1.955906148867314,188.0,200.0,12.0,25957.0
21207,San Joaquin Valley College-Rancho Cordova,Sacramento,Private for-profit,38317,27288,13377.560000000001,13317.0,2.0398338710497277,2.0491101599459336,203.0,207.0,4.0,25000.0
21250,Career Academy of Beauty,Orange,Private for-profit,24410,19101,-529.4399999999987,-3590.0,999.0,999.0,,,,28000.0
21282,Bridges Beauty College,San Bernardino,Private for-profit,17287,20849,-7652.439999999999,-6713.0,999.0,999.0,,,,24000.0
21283,Institute for Business and Technology,Santa Clara,Private for-profit,38015,25471,13075.560000000001,4515.0,1.947985401772467,5.64141749723145,196.0,261.0,65.0,33500.0
21283,National Career Education,Sacramento,Private for-profit,38015,24800,13075.560000000001,13015.0,1.8966682880121384,1.9054936611601998,193.0,198.0,5.0,25000.0
21618,Musicians Institute,Los Angeles,Private for-profit,32778,37793,7838.560000000001,9180.0,4.821421281459859,4.116884531590414,256.0,246.0,-10.0,23598.0
21678,Estes Institute of Cosmetology Arts and Science,Tulare,Private for-profit,26965,12990,2025.5600000000013,6965.0,6.41304133177985,1.8650394831299353,263.0,195.0,-68.0,20000.0
21858,Moler Barber College,Alameda,Private for-profit,15204,22135,-9735.439999999999,-11933.0,999.0,999.0,,,,27137.0
22110,Salon Success Academy-Riverside,Riverside,Private for-profit,21777,13095,-3162.4399999999987,-4180.0,999.0,999.0,,,,25957.0
22171,Pima Medical Institute-Chula Vista,San Diego,Private for-profit,38673,21925,13733.560000000001,12716.0,1.5964542332796448,1.724205725070777,168.0,188.0,20.0,25957.0
22171,Pima Medical Institute-San Marcos,San Diego,Private for-profit,38673,29950,13733.560000000001,12716.0,2.1807892491094805,2.355300408933627,217.0,217.0,0.0,25957.0
22260,East Los Angeles College,Los Angeles,Public,42006,9791,17066.56,18408.0,0.573694991843699,0.5318883094306823,92.0,86.0,-6.0,23598.0
22309,Fredrick and Charles Beauty College,Humboldt,Private for-profit,21826,14402,-3113.4399999999987,-684.0,999.0,999.0,,,,22510.0
22319,Gemological Institute of America-Carlsbad,San Diego,Private non-profit,42588,31435,17648.56,16631.0,1.781165148884668,1.8901449101076304,185.0,196.0,11.0,25957.0
22364,Thanh Le College School of Cosmetology,Orange,Private for-profit,13265,21350,-11674.439999999999,-14735.0,999.0,999.0,,,,28000.0
22418,American Career College-Anaheim,Orange,Private for-profit,38430,27397,13490.560000000001,10430.0,2.0308274823283834,2.626749760306807,201.0,228.0,27.0,28000.0
22418,American Career College-Los Angeles,Los Angeles,Private for-profit,38430,27508,13490.560000000001,14832.0,2.0390554580388063,1.854638619201726,202.0,194.0,-8.0,23598.0
22427,Berkeley City College,Alameda,Public,41217,8957,16277.560000000001,14080.0,0.550266747596077,0.6361505681818181,88.0,102.0,14.0,27137.0
22482,Milan Institute of Cosmetology-Vacaville,Solano,Private for-profit,22378,25234,-2561.4399999999987,-8299.0,999.0,999.0,,,,30677.0
22774,South Coast College,Orange,Private for-profit,44897,22480,19957.56,16897.0,1.1263902000044093,1.3304136829022903,151.0,163.0,12.0,28000.0
23328,CET-Soledad,Monterey,Private non-profit,32986,10377,8046.560000000001,8046.560000000001,1.2896194150046727,1.2896194150046727,158.0,158.0,0.0,
23328,CET-Coachella,Riverside,Private non-profit,32986,11202,8046.560000000001,7029.0,1.3921477003837663,1.5936833119931713,159.0,177.0,18.0,25957.0
23328,CET-El Centro,Imperial,Private non-profit,32986,19211,8046.560000000001,21187.0,2.3874798671730524,0.9067352621890782,224.0,129.0,-95.0,11799.0
23328,CET-Colton,San Bernardino,Private non-profit,32986,15800,8046.560000000001,8986.0,1.9635720108965815,1.7582906743823725,198.0,190.0,-8.0,24000.0
23328,CET-Oxnard,Ventura,Private non-profit,32986,9534,8046.560000000001,4848.0,1.1848541488536715,1.9665841584158417,154.0,201.0,47.0,28138.0
23328,CET-San Diego,San Diego,Private non-profit,32986,19875,8046.560000000001,7029.0,2.469999602314529,2.8275714895433204,228.0,231.0,3.0,25957.0
23328,CET-Salinas,Monterey,Private non-profit,32986,6804,8046.560000000001,8046.560000000001,0.8455787317810343,0.8455787317810343,126.0,120.0,-6.0,
23328,CET-Santa Maria,Santa Barbara,Private non-profit,32986,2869,8046.560000000001,11748.0,0.3565498797001451,0.24421178072863467,64.0,44.0,-20.0,21238.0
23328,CET-Watsonville,Santa Cruz,Private non-profit,32986,1532,8046.560000000001,3831.0,0.19039191903123817,0.39989558861915947,30.0,68.0,38.0,29155.0
23328,CET-San Jose,Santa Clara,Private non-profit,32986,15045,8046.560000000001,-514.0,1.869743095186017,999.0,191.0,,,33500.0
23385,North-West College-San Diego,San Diego,Private for-profit,41472,43043,16532.56,15515.0,2.6035290360355563,2.7742829519819527,232.0,229.0,-3.0,25957.0
23385,Glendale Career College,Los Angeles,Private for-profit,41472,46212,16532.56,17874.0,2.795211388919804,2.585431352802954,236.0,224.0,-12.0,23598.0
23385,Glendale Career College-North-West College-Bakersfield,Kern,Private for-profit,41472,49781,16532.56,20472.0,3.011088421877797,2.4316627588901913,237.0,219.0,-18.0,21000.0
23434,Bellus Academy-Poway,San Diego,Private for-profit,25223,30336,283.5600000000013,-734.0,106.98264917477734,999.0,283.0,,,25957.0
24948,CRU Institute of Cosmetology and Barbering,Orange,Private for-profit,20125,18165,-4814.439999999999,-7875.0,999.0,999.0,,,,28000.0
24973,Milan Institute-Visalia,Tulare,Private for-profit,32493,28638,7553.560000000001,12493.0,3.7913248852196837,2.292323701272713,240.0,215.0,-25.0,20000.0
25204,Adrian's Beauty College of Turlock,Stanislaus,Private for-profit,18199,24393,-6740.439999999999,-8041.0,999.0,999.0,,,,26240.0
25318,Paul Mitchell the School-San Diego,San Diego,Private for-profit,26897,25671,1957.5600000000013,940.0,13.113774290443196,27.309574468085106,272.0,279.0,7.0,25957.0
25318,Paul Mitchell the School-Costa Mesa,Orange,Private for-profit,26897,12063,1957.5600000000013,-1103.0,6.1622632256482515,999.0,262.0,,,28000.0
25372,Palomar Institute of Cosmetology,San Diego,Private for-profit,23451,18176,-1488.4399999999987,-2506.0,999.0,999.0,,,,25957.0
25395,Irvine Valley College,Orange,Public,49156,1886,24216.56,21156.0,0.077880590802327,0.08914728682170543,12.0,14.0,2.0,28000.0
25423,National Holistic Institute,Alameda,Private for-profit,27978,29199,3038.5600000000013,841.0,9.609486072350057,34.719381688466115,268.0,282.0,14.0,27137.0
25434,Brownson Technical School,Orange,Private for-profit,68767,32584,43827.56,40767.0,0.7434591384964164,0.799273922535384,112.0,115.0,3.0,28000.0
25459,Hypnosis Motivation Institute,Los Angeles,Private non-profit,24244,42523,-695.4399999999987,646.0,999.0,65.8250773993808,,283.0,,23598.0
25535,Associated Technical College-San Diego,San Diego,Private for-profit,26688,24674,1748.5600000000013,731.0,14.111039941437514,33.75376196990424,273.0,281.0,8.0,25957.0
25536,Diversified Vocational College,Los Angeles,Private for-profit,25328,21444,388.5600000000013,1730.0,55.188387893761394,12.395375722543353,280.0,274.0,-6.0,23598.0
25593,UEI College-Garden Grove,Orange,Private for-profit,31141,23923,6201.560000000001,3141.0,3.8575777707544545,7.616364215218083,241.0,267.0,26.0,28000.0
25593,UEI College-Huntington Park,Los Angeles,Private for-profit,31141,26959,6201.560000000001,7543.0,4.347132011945381,3.5740421582924564,249.0,239.0,-10.0,23598.0
25593,UEI College-West Covina,Los Angeles,Private for-profit,31141,25924,6201.560000000001,7543.0,4.180238520630292,3.436828847938486,245.0,236.0,-9.0,23598.0
25593,UEI College-Ontario,San Bernardino,Private for-profit,31141,25076,6201.560000000001,7141.0,4.043498732576964,3.5115530037809832,242.0,238.0,-4.0,24000.0
25593,UEI College-Reseda,Los Angeles,Private for-profit,31141,25949,6201.560000000001,7543.0,4.184269764381864,3.4401431791064563,246.0,237.0,-9.0,23598.0
25593,UEI College-Oceanside,San Diego,Private for-profit,31141,25560,6201.560000000001,5184.0,4.121543611607401,4.930555555555555,244.0,253.0,9.0,25957.0
25593,UEI College-Chula Vista,San Diego,Private for-profit,31141,26798,6201.560000000001,5184.0,4.3211708021852555,5.169367283950617,248.0,256.0,8.0,25957.0
25593,UEI College-Stockton,San Joaquin,Private for-profit,31141,25283,6201.560000000001,1644.0,4.076877430839981,15.378953771289538,243.0,277.0,34.0,29497.0
25594,InterCoast Colleges-Riverside,Riverside,Private for-profit,36089,23880,11149.560000000001,10132.0,2.141788554884677,2.3568890643505727,213.0,218.0,5.0,25957.0
25594,InterCoast Colleges-Rancho Cordova,Sacramento,Private for-profit,36089,23629,11149.560000000001,11089.0,2.1192764557525137,2.1308503922806383,211.0,213.0,2.0,25000.0
25594,InterCoast Colleges-Fairfield,Solano,Private for-profit,36089,23134,11149.560000000001,5412.0,2.074880084954025,4.274575018477457,206.0,248.0,42.0,30677.0
25594,InterCoast Colleges-West Covina,Los Angeles,Private for-profit,36089,23693,11149.560000000001,12491.0,2.1250165925830253,1.896805700104075,212.0,197.0,-15.0,23598.0
25916,North-West College-Van Nuys,Los Angeles,Private for-profit,32488,33464,7548.560000000001,8890.0,4.433163411299637,3.7642294713160855,251.0,244.0,-7.0,23598.0
25964,Spartan College of Aeronautics and Technology,Riverside,Private for-profit,61575,32884,36635.56,35618.0,0.8975978530149397,0.923241057892077,131.0,132.0,1.0,25957.0
25964,Spartan College of Aeronautics & Technology,Los Angeles,Private for-profit,61575,30099,36635.56,37977.0,0.8215788157735272,0.7925586539221108,120.0,114.0,-6.0,23598.0
26023,Central Coast College,Monterey,Private for-profit,40823,26640,15883.560000000001,15883.560000000001,1.677205865687541,1.677205865687541,172.0,186.0,14.0,
30199,Capstone College,Los Angeles,Private for-profit,35348,18047,10408.560000000001,11750.0,1.7338613602650124,1.5359148936170213,178.0,170.0,-8.0,23598.0
30277,Pacific College of Health and Science,San Diego,Private for-profit,26209,39710,1269.5600000000013,252.0,31.278553199533665,157.5793650793651,278.0,285.0,7.0,25957.0
30296,Pomona Unified School District Adult and Career Education,Los Angeles,Public,34849,6005,9909.560000000001,11251.0,0.6059804875292142,0.5337303350813261,99.0,87.0,-12.0,23598.0
30357,Las Positas College,Alameda,Public,51088,4175,26148.56,23951.0,0.15966462397929368,0.17431422487578807,25.0,27.0,2.0,27137.0
30399,Fremont University,Los Angeles,Private for-profit,39003,32256,14063.560000000001,15405.0,2.293587114500169,2.093865628042843,223.0,211.0,-12.0,23598.0
30624,Mt. Diablo Adult Education-Mt. Diablo USD,Contra Costa,Public,40175,12260,15235.560000000001,15175.0,0.8046963813604487,0.8079077429983526,119.0,116.0,-3.0,25000.0
30627,Platt College-Ontario,San Bernardino,Private for-profit,40669,27002,15729.560000000001,16669.0,1.7166405163272207,1.619893214949907,175.0,180.0,5.0,24000.0
30627,Platt College-Riverside,Riverside,Private for-profit,40669,26217,15729.560000000001,14712.0,1.666734479540432,1.7820146818923328,171.0,191.0,20.0,25957.0
30627,Platt College-Anaheim,Orange,Private for-profit,40669,25680,15729.560000000001,12669.0,1.6325949359041192,2.0269950272318256,169.0,203.0,34.0,28000.0
30627,Platt College-Los Angeles,Los Angeles,Private for-profit,40669,28014,15729.560000000001,17071.0,1.7809779803122272,1.6410286450705875,184.0,183.0,-1.0,23598.0
30634,Modern Technology School,Orange,Private for-profit,50667,23046,25727.56,22667.0,0.8957709164802258,1.0167203423479068,130.0,144.0,14.0,28000.0
30674,Baldwin Park Adult & Community Education,Los Angeles,Public,32069,7450,7129.560000000001,8471.0,1.0449452701148456,0.8794711368197379,144.0,125.0,-19.0,23598.0
30675,Institute of Technology,Fresno,Private for-profit,35095,23027,10155.560000000001,15037.0,2.2674278917164585,1.5313559885615482,222.0,169.0,-53.0,20058.0
30847,Ventura Adult and Continuing Education,Ventura,Public,38232,9949,13292.560000000001,10094.0,0.7484638023074561,0.9856350307113136,113.0,136.0,23.0,28138.0
30977,Central California School of Continuing Education,San Luis Obispo,Private for-profit,41223,14364,16283.560000000001,13109.0,0.8821166870143875,1.0957357540620947,128.0,148.0,20.0,28114.0
30987,Milan Institute-Palm Desert,Riverside,Private for-profit,29491,27930,4551.560000000001,3534.0,6.136357644412024,7.903225806451613,261.0,269.0,8.0,25957.0
31081,Summit College,San Bernardino,Private for-profit,40187,24161,15247.560000000001,16187.0,1.5845814018767592,1.4926175325878792,167.0,167.0,0.0,24000.0
31133,UEI College-Bakersfield,Kern,Private for-profit,27688,27712,2748.5600000000013,6688.0,10.082370404866543,4.143540669856459,270.0,247.0,-23.0,21000.0
31133,UEI College-Fresno,Fresno,Private for-profit,27688,28271,2748.5600000000013,7630.0,10.28574962889658,3.70524246395806,271.0,243.0,-28.0,20058.0
31136,Southern California Institute of Technology,Orange,Private for-profit,53598,27735,28658.56,25598.0,0.967773677393421,1.0834830846159855,137.0,147.0,10.0,28000.0
31253,John Wesley International Barber and Beauty College,Los Angeles,Private for-profit,23643,12735,-1296.4399999999987,45.0,999.0,283.0,,286.0,,23598.0
31258,Premiere Career College,Los Angeles,Private for-profit,41270,23214,16330.560000000001,17672.0,1.4215066721533125,1.3136034404708012,162.0,160.0,-2.0,23598.0
31444,American College of Healthcare and Technology-Santa Ana,Orange,Private for-profit,31109,14794,6169.560000000001,3109.0,2.3979019573519014,4.758443229334191,225.0,252.0,27.0,28000.0
31444,American College of Healthcare and Technology,Riverside,Private for-profit,31109,15115,6169.560000000001,5152.0,2.449931599660267,2.933812111801242,227.0,232.0,5.0,25957.0
31444,American College of Healthcare and Technology,Los Angeles,Private for-profit,31109,12483,6169.560000000001,7511.0,2.0233209499542912,1.6619624550659033,200.0,185.0,-15.0,23598.0
32423,Career Networks Institute,Orange,Private for-profit,45256,28292,20316.56,17256.0,1.392558582752198,1.639545665275846,160.0,182.0,22.0,28000.0
32503,CBD College,Los Angeles,Private non-profit,37237,21100,12297.560000000001,13639.0,1.7157875220775503,1.5470342400469244,174.0,171.0,-3.0,23598.0
32993,Pacific College,Orange,Private for-profit,70064,21941,45124.56,42064.0,0.4862318879120373,0.5216099277291746,79.0,83.0,4.0,28000.0
33673,Professional Golfers Career College,Riverside,Private for-profit,46079,31397,21139.56,20122.0,1.4852248580386724,1.560331974952788,163.0,173.0,10.0,25957.0
34223,Milan Institute-Bakersfield,Kern,Private for-profit,24879,29198,-60.43999999999869,3879.0,999.0,7.5271977313740654,,266.0,,21000.0
34223,Milan Institute-Merced,Merced,Private for-profit,24879,28094,-60.43999999999869,2461.0,999.0,11.415684681023974,,271.0,,22418.0
34223,Milan Institute-Clovis,Fresno,Private for-profit,24879,21941,-60.43999999999869,4821.0,999.0,4.551130470856669,,250.0,,20058.0
34404,Marian Health Careers Center-Los Angeles Campus,Los Angeles,Private for-profit,63612,30387,38672.56,40014.0,0.7857509303754394,0.7594092067776278,117.0,110.0,-7.0,23598.0
34404,Marian Health Careers Center-Van Nuys Campus,Los Angeles,Private for-profit,63612,32543,38672.56,40014.0,0.8415010539772904,0.8132903483780677,124.0,117.0,-7.0,23598.0
34793,PCI College,Los Angeles,Private for-profit,36141,24046,11201.560000000001,12543.0,2.1466652859066055,1.91708522681974,214.0,199.0,-15.0,23598.0
35324,ATA College,San Diego,Private for-profit,35017,20906,10077.560000000001,9060.0,2.0745100996669827,2.3075055187637967,205.0,216.0,11.0,25957.0
35424,Copper Mountain Community College,San Bernardino,Public,33281,7962,8341.560000000001,9281.0,0.954497719850963,0.8578816937829975,136.0,123.0,-13.0,24000.0
35773,Coba Academy,Orange,Private for-profit,21208,16761,-3731.4399999999987,-6792.0,999.0,999.0,,,,28000.0
35904,NTMA Training Centers of Southern California,Los Angeles,Private non-profit,45713,22219,20773.56,22115.0,1.0695807555373271,1.0047026904815737,146.0,140.0,-6.0,23598.0
36393,Smith Chason College,Los Angeles,Private for-profit,58004,34402,33064.56,34406.0,1.0404493512086659,0.9998837412079289,143.0,138.0,-5.0,23598.0
36463,Design's School of Cosmetology,San Luis Obispo,Private for-profit,23937,17968,-1002.4399999999987,-4177.0,999.0,999.0,,,,28114.0
36813,California Healing Arts College,Los Angeles,Private for-profit,25151,19024,211.5600000000013,1553.0,89.92248062015449,12.249839021249196,281.0,273.0,-8.0,23598.0
